Weather_Condition,Air_Traffic_Congestion,Technical_Issues,Airport_Operations,Security_Conditions,Late_Arrivals,Delay
51,95,97,78,93,13,4.236010202
92,21,67,23,53,22,0.226642561
14,88,43,38,39,65,1.71828559
71,10,42,13,28,100,5.970056689
60,74,40,79,30,56,6.43343371
20,89,27,14,74,31,5.602567565
82,15,20,2,93,48,4.505774022
86,28,1,83,94,12,0.857186449
74,29,53,53,79,71,9.032840524
74,10,85,27,24,87,3.786582663
87,56,15,16,54,63,3.470770533
99,64,37,99,26,32,3.399002931
23,5,43,0,61,59,4.564476796
2,76,5,31,5,91,4.834467679
21,90,80,32,48,77,2.047588476
52,34,96,80,38,19,24
1,96,51,32,23,99,24
87,58,90,68,85,46,1.66255748
29,13,5,99,74,64,3.604039986
37,42,3,11,70,47,19.19560451
1,45,67,18,37,67,1.420771578
63,21,86,97,9,76,1.011092609
59,59,85,61,17,94,1.618800515
20,84,52,91,23,25,5.655555771
32,1,50,29,37,38,0.774478103
75,68,87,50,83,59,5.815854086
57,14,68,88,47,62,2.264184688
21,49,35,95,25,73,1.048160146
88,83,2,25,92,17,1.807433371
48,89,55,95,78,93,9.528958813
90,55,100,36,80,59,0.864480963
58,62,11,30,91,72,7.343544153
41,87,22,77,37,6,1.791595787
91,34,58,90,29,3,3.97203122
59,87,60,14,66,50,4.477817244
79,25,15,39,86,61,2.166003389
14,85,49,99,78,47,1.001550484
61,26,35,0,66,51,12.30229428
61,18,71,24,73,31,1.99810614
46,36,65,28,45,43,1.385481872
61,35,62,49,51,63,2.63958002
50,92,92,71,74,30,3.20945005
54,39,87,79,57,7,2.164047142
63,62,57,80,61,73,0.346245482
2,38,51,9,83,26,5.476182734
100,11,33,49,30,34,20.96241511
50,43,42,89,17,83,4.021266265
6,79,99,70,92,45,11.31535741
20,47,6,56,54,34,1.465731406
72,94,77,50,82,44,3.783977394
38,78,22,23,86,48,2.946659916
17,32,59,26,42,81,3.239716185
3,78,69,31,58,47,8.676673832
88,31,64,26,14,34,6.847399019
59,21,100,30,90,73,6.345100401
13,5,17,71,39,50,0.644339457
8,29,99,11,94,97,1.043991102
89,16,63,79,1,62,9.252188061
52,1,90,71,34,11,7.299051008
1,79,27,74,3,36,3.744169042
83,54,78,41,61,56,1.749215558
91,11,6,81,46,2,1.078106432
59,11,0,34,81,92,1.383192679
70,50,33,41,23,3,1.261358592
43,47,51,78,25,16,2.006426022
7,38,67,1,48,42,3.073632372
46,80,31,23,60,96,24
34,69,42,36,15,3,10.79224347
77,89,19,62,93,48,1.234593689
80,0,8,7,24,64,16.55452216
35,15,69,88,48,45,4.676722433
49,45,57,9,84,93,11.15635851
3,62,40,41,38,66,3.923017034
1,58,20,92,58,23,5.38110911
5,46,79,1,84,79,1.838727428
53,15,64,75,1,75,6.299984928
3,45,43,41,57,44,4.887810838
53,79,35,48,64,40,3.1189673
92,38,17,76,41,63,4.345184781
62,92,43,75,78,50,7.729057343
17,49,8,6,45,96,9.420051464
89,48,84,39,69,43,5.428472684
43,25,8,86,52,80,1.997641984
33,93,75,6,20,25,5.868219177
73,32,100,55,67,64,7.111820751
61,19,87,95,48,60,3.747085924
99,100,68,24,71,36,1.669372093
13,76,57,95,41,84,1.391109404
94,71,76,8,75,7,0.931333751
47,95,34,99,88,47,1.640957165
14,81,35,64,54,90,4.611863891
71,40,89,90,16,28,2.81244212
77,10,61,77,38,65,9.981562943
86,54,48,18,2,80,1.133136554
61,46,49,37,6,64,2.01120027
39,77,94,82,63,22,3.642007602
84,49,52,27,39,89,3.952931464
79,96,20,75,22,32,10.32844678
81,22,22,12,60,65,17.92110519
52,60,10,47,2,2,1.872663369
23,6,39,68,97,45,5.806330797
25,14,6,50,2,29,2.24857
88,78,99,95,7,35,0.686409589
59,8,51,76,43,65,4.038588273
40,84,47,5,35,35,7.135078304
28,36,50,80,5,62,2.22157024
14,58,82,67,41,50,5.216934959
44,27,20,36,62,92,3.839085958
64,5,93,2,78,12,3.096668902
88,9,6,71,23,53,1.339849406
70,14,73,73,77,30,2.401321763
8,87,20,48,85,91,2.578304471
87,3,62,50,58,46,4.056686951
0,98,22,11,77,58,9.524818895
7,57,48,73,19,30,4.427111232
87,14,90,14,62,73,4.718596879
62,36,14,84,20,19,1.092780741
10,1,38,88,85,67,1.619912876
80,46,56,75,43,20,0.965690674
7,27,44,92,95,55,0.47239184
34,68,92,94,89,11,1.044503443
34,86,55,16,76,80,6.349254204
32,72,28,24,42,47,1.434575182
4,70,15,64,99,42,8.012488019
40,67,93,60,3,40,4.792972304
27,18,6,39,2,12,4.272861282
6,7,59,39,16,21,1.2815733
72,30,91,45,12,41,5.223421088
71,13,20,98,51,73,0.213943282
11,28,29,51,32,86,3.215045013
33,8,1,75,73,26,16.32464014
32,100,13,59,5,55,1.45248249
47,69,35,89,90,28,9.423331705
22,59,67,43,12,40,2.784523679
61,91,98,66,20,80,1.515545973
87,44,36,92,80,58,7.734525771
36,73,51,71,62,98,1.698642714
98,53,65,10,75,9,2.112964648
43,44,83,49,14,3,24
85,2,5,86,5,60,1.779536128
90,75,95,95,58,9,7.337014786
34,35,38,54,42,12,2.222763195
64,10,17,25,29,54,0.666477104
98,72,30,92,51,13,2.016614791
100,5,61,64,7,5,3.350150991
46,75,4,77,32,55,12.25728702
77,40,51,61,90,76,0.793339836
2,71,76,16,13,73,4.891165483
0,40,61,40,93,79,10.38458292
4,76,64,36,5,65,3.59905587
89,61,5,48,28,12,1.182606042
13,8,52,8,1,76,0.415799185
26,83,38,19,87,74,4.038422748
8,9,97,13,56,65,15.78237215
78,40,79,98,11,30,1.215619054
14,26,89,6,92,97,6.436019879
89,52,12,36,1,59,2.334860581
41,3,67,46,14,85,4.1098186
76,9,35,47,17,33,5.599324177
50,48,9,39,84,87,2.215419267
62,18,9,66,7,34,0.773604233
95,73,45,79,53,97,0.792264952
51,49,26,32,30,78,0.680386171
95,47,51,95,53,48,0.295396194
3,22,14,73,68,69,13.70808509
93,99,34,92,10,55,12.001818
100,8,89,12,14,85,0.811228447
22,65,97,73,55,96,4.226494836
14,18,90,72,57,90,5.304128924
42,71,67,46,2,84,4.353467961
28,89,11,66,75,86,2.130672794
35,50,40,13,36,4,6.851477231
12,99,22,79,82,8,1.85562929
31,10,41,4,81,48,5.247128163
70,2,93,19,33,52,13.22584188
58,60,55,16,59,50,1.965255276
85,93,96,44,81,40,0.643103957
27,81,79,78,43,32,23.8482645
65,16,27,63,85,20,4.529983102
41,72,67,43,65,16,4.368622236
44,29,86,10,63,55,2.456914857
61,79,69,67,49,85,2.088406769
56,7,16,19,67,83,6.922488235
5,40,53,92,84,11,0.893789828
27,25,96,22,95,28,1.513842941
27,4,70,10,5,47,4.889472338
43,68,100,14,23,19,1.001747705
83,23,92,49,49,34,2.180810423
29,77,66,92,0,84,4.621337305
61,68,18,62,96,70,4.322502753
74,35,46,88,79,23,4.333348392
91,88,29,24,73,51,0.983969067
